,Insult,Date,Comment,tokenized_sents,stemmed,replaced stemmed
0,1,20120618192155Z,you fuck your dad,"['fuck', 'dad']","['fuck', 'dad']","['fuck', 'dad']"
1,0,20120528192215Z,i really dont understand your pointxa0 it seems that you are mixing apples and oranges,"['really', 'dont', 'understand', 'pointxa0', 'seems', 'mixing', 'apples', 'oranges']","['realli', 'dont', 'understand', 'pointxa0', 'seem', 'mix', 'appl', 'orang']","['realli', 'dont', 'understand', 'pointxa0', 'seem', 'mix', 'appl', 'orang']"
2,0,,axc2xa0majority of canadians can and has been wrong before now and will be againnnunless youre supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then thems the breaks and we can always regard you as collateral damage like in wartime  and sorry butxc2xa0the cheques in the mail ,"['axc2xa0majority', 'canadians', 'wrong', 'againnnunless', 'youre', 'supportive', 'idea', 'nothing', 'full', 'proof', 'perfect', 'take', 'chances', 'inadvertently', 'kill', 'son', 'daughter', 'thems', 'breaks', 'always', 'regard', 'collateral', 'damage', 'like', 'wartime', 'sorry', 'butxc2xa0the', 'cheques', 'mail']","['axc2xa0major', 'canadian', 'wrong', 'againnnunless', 'your', 'support', 'idea', 'noth', 'full', 'proof', 'perfect', 'take', 'chanc', 'inadvert', 'kill', 'son', 'daughter', 'them', 'break', 'alway', 'regard', 'collater', 'damag', 'like', 'wartim', 'sorri', 'butxc2xa0th', 'chequ', 'mail']","['axc2xa0major', 'canadian', 'wrong', 'againnnunless', 'your', 'support', 'idea', 'noth', 'full', 'proof', 'perfect', 'take', 'chanc', 'inadvert', 'kill', 'son', 'daughter', 'them', 'break', 'alway', 'regard', 'collater', 'damag', 'like', 'wartim', 'sorri', 'butxc2xa0th', 'chequ', 'mail']"
3,0,,listen if you dont wanna get married to a man or a women dont do it what would it bother you if gay people got married stay in your lane do you let them do them and your god is so nice but quick to judg if your not like him thought you wasnt suppose to judge people,"['listen', 'dont', 'wan', 'na', 'get', 'married', 'man', 'women', 'dont', 'would', 'bother', 'gay', 'people', 'got', 'married', 'stay', 'lane', 'let', 'god', 'nice', 'quick', 'judg', 'like', 'thought', 'wasnt', 'suppose', 'judge', 'people']","['listen', 'dont', 'wan', 'na', 'get', 'marri', 'man', 'women', 'dont', 'would', 'bother', 'gay', 'peopl', 'got', 'marri', 'stay', 'lane', 'let', 'god', 'nice', 'quick', 'judg', 'like', 'thought', 'wasnt', 'suppos', 'judg', 'peopl']","['listen', 'dont', 'wan', 'na', 'get', 'marri', 'man', 'women', 'dont', 'would', 'bother', 'gay', 'peopl', 'got', 'marri', 'stay', 'lane', 'let', 'god', 'nice', 'quick', 'judg', 'like', 'thought', 'wasnt', 'suppos', 'judg', 'peopl']"
4,0,20120619094753Z,cxe1c bu1ea1n xuu1ed1ng u0111u01b0u1eddng biu1ec3u txecnh 2011 cxf3 xf4n hoxe0 khxf4ng  ncxe1c ngu01b0 dxe2n ngu1ed3i cuxed u0111u1ea7u chiu1ee5 nhu1ee5c cxf3 xf4n hoxe0 khxf4ng ncxe1c nxf4ng dxe2n giu1eef u0111u1ea5t u1edf vu0103n giang cu1ea7n thu01a1 cxf3 xf4n hoxe0 khxf4ng nnru1ed1t cuu1ed9c u0111u01b0u1ee3c gxecxa0 thxec chxfang ta u0111xe3 biu1ebft nai cu0169ng yxeau chuu1ed9ng hoxe0 bxecnh nhu01b0ng u0111xf4i khi hoxe0 bxecnh chu1ec9 thu1eadt su1ef1 u0111u1ebfn sau chiu1ebfn tranh mxe0 thxf4inkhxf4ng cxf2n con u0111u01b0u1eddng nxe0o chu1ecdn khxe1c u0111xe2u u0111u1eebng mu01a1 thxeam nu01b0xe3,"['cxe1c', 'bu1ea1n', 'xuu1ed1ng', 'u0111u01b0u1eddng', 'biu1ec3u', 'txecnh', '2011', 'cxf3', 'xf4n', 'hoxe0', 'khxf4ng', 'ncxe1c', 'ngu01b0', 'dxe2n', 'ngu1ed3i', 'cuxed', 'u0111u1ea7u', 'chiu1ee5', 'nhu1ee5c', 'cxf3', 'xf4n', 'hoxe0', 'khxf4ng', 'ncxe1c', 'nxf4ng', 'dxe2n', 'giu1eef', 'u0111u1ea5t', 'u1edf', 'vu0103n', 'giang', 'cu1ea7n', 'thu01a1', 'cxf3', 'xf4n', 'hoxe0', 'khxf4ng', 'nnru1ed1t', 'cuu1ed9c', 'u0111u01b0u1ee3c', 'gxecxa0', 'thxec', 'chxfang', 'ta', 'u0111xe3', 'biu1ebft', 'nai', 'cu0169ng', 'yxeau', 'chuu1ed9ng', 'hoxe0', 'bxecnh', 'nhu01b0ng', 'u0111xf4i', 'khi', 'hoxe0', 'bxecnh', 'chu1ec9', 'thu1eadt', 'su1ef1', 'u0111u1ebfn', 'sau', 'chiu1ebfn', 'tranh', 'mxe0', 'thxf4inkhxf4ng', 'cxf2n', 'con', 'u0111u01b0u1eddng', 'nxe0o', 'chu1ecdn', 'khxe1c', 'u0111xe2u', 'u0111u1eebng', 'mu01a1', 'thxeam', 'nu01b0xe3']","['cxe1c', 'bu1ea1n', 'xuu1ed1ng', 'u0111u01b0u1eddng', 'biu1ec3u', 'txecnh', '2011', 'cxf3', 'xf4n', 'hoxe0', 'khxf4ng', 'ncxe1c', 'ngu01b0', 'dxe2n', 'ngu1ed3i', 'cux', 'u0111u1ea7u', 'chiu1ee5', 'nhu1ee5c', 'cxf3', 'xf4n', 'hoxe0', 'khxf4ng', 'ncxe1c', 'nxf4ng', 'dxe2n', 'giu1eef', 'u0111u1ea5t', 'u1edf', 'vu0103n', 'giang', 'cu1ea7n', 'thu01a1', 'cxf3', 'xf4n', 'hoxe0', 'khxf4ng', 'nnru1ed1t', 'cuu1ed9c', 'u0111u01b0u1ee3c', 'gxecxa0', 'thxec', 'chxfang', 'ta', 'u0111xe3', 'biu1ebft', 'nai', 'cu0169ng', 'yxeau', 'chuu1ed9ng', 'hoxe0', 'bxecnh', 'nhu01b0ng', 'u0111xf4i', 'khi', 'hoxe0', 'bxecnh', 'chu1ec9', 'thu1eadt', 'su1ef1', 'u0111u1ebfn', 'sau', 'chiu1ebfn', 'tranh', 'mxe0', 'thxf4inkhxf4ng', 'cxf2n', 'con', 'u0111u01b0u1eddng', 'nxe0o', 'chu1ecdn', 'khxe1c', 'u0111xe2u', 'u0111u1eebng', 'mu01a1', 'thxeam', 'nu01b0xe3']","['cxe1c', 'bu1ea1n', 'xuu1ed1ng', 'u0111u01b0u1eddng', 'biu1ec3u', 'txecnh', '2011', 'cxf3', 'xf4n', 'hoxe0', 'khxf4ng', 'ncxe1c', 'ngu01b0', 'dxe2n', 'ngu1ed3i', 'cux', 'u0111u1ea7u', 'chiu1ee5', 'nhu1ee5c', 'cxf3', 'xf4n', 'hoxe0', 'khxf4ng', 'ncxe1c', 'nxf4ng', 'dxe2n', 'giu1eef', 'u0111u1ea5t', 'u1edf', 'vu0103n', 'giang', 'cu1ea7n', 'thu01a1', 'cxf3', 'xf4n', 'hoxe0', 'khxf4ng', 'nnru1ed1t', 'cuu1ed9c', 'u0111u01b0u1ee3c', 'gxecxa0', 'thxec', 'chxfang', 'ta', 'u0111xe3', 'biu1ebft', 'nai', 'cu0169ng', 'yxeau', 'chuu1ed9ng', 'hoxe0', 'bxecnh', 'nhu01b0ng', 'u0111xf4i', 'khi', 'hoxe0', 'bxecnh', 'chu1ec9', 'thu1eadt', 'su1ef1', 'u0111u1ebfn', 'sau', 'chiu1ebfn', 'tranh', 'mxe0', 'thxf4inkhxf4ng', 'cxf2n', 'con', 'u0111u01b0u1eddng', 'nxe0o', 'chu1ecdn', 'khxe1c', 'u0111xe2u', 'u0111u1eebng', 'mu01a1', 'thxeam', 'nu01b0xe3']"
5,0,20120620171226Z,sdl ok but i would hope theyd sign him to a oneyear contract to start with give him the chance to be reliable and productive but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits,"['sdl', 'ok', 'would', 'hope', 'theyd', 'sign', 'oneyear', 'contract', 'start', 'give', 'chance', 'reliable', 'productive', 'give', 'time', 'hurt', 'playing', 'skills', 'falls', 'back', 'old', 'habits']","['sdl', 'ok', 'would', 'hope', 'theyd', 'sign', 'oneyear', 'contract', 'start', 'give', 'chanc', 'reliabl', 'product', 'give', 'time', 'hurt', 'play', 'skill', 'fall', 'back', 'old', 'habit']","['sdl', 'ok', 'would', 'hope', 'theyd', 'sign', 'oneyear', 'contract', 'start', 'give', 'chanc', 'reliabl', 'product', 'give', 'time', 'hurt', 'play', 'skill', 'fall', 'back', 'old', 'habit']"
6,0,20120503012628Z,yeah and where are you now,['yeah'],['yeah'],['yeah']
7,1,,shut the fuck up you and the rest of your faggot friends should be burned at the stake,"['shut', 'fuck', 'rest', 'faggot', 'friends', 'burned', 'stake']","['shut', 'fuck', 'rest', 'faggot', 'friend', 'burn', 'stake']","['shut', 'fuck', 'rest', 'faggot', 'friend', 'burn', 'stake']"
8,1,20120502173553Z,either you are fake or extremely stupidmaybe both,"['either', 'fake', 'extremely', 'stupidmaybe']","['either', 'fake', 'extrem', 'stupidmayb']","['either', 'fake', 'extrem', 'stupidmayb']"
9,1,20120620160512Z,that you are an idiot who understands neither taxation nor womens health,"['idiot', 'understands', 'neither', 'taxation', 'womens', 'health']","['idiot', 'understand', 'neither', 'taxat', 'women', 'health']","['idiot', 'understand', 'neither', 'taxat', 'women', 'health']"
10,0,20120620015140Z,jdstorm dont wish him injury but it happened on its own and i doubt hes injured he looked embarrassed to me,"['jdstorm', 'dont', 'wish', 'injury', 'happened', 'doubt', 'hes', 'injured', 'looked', 'embarrassed']","['jdstorm', 'dont', 'wish', 'injuri', 'happen', 'doubt', 'hes', 'injur', 'look', 'embarrass']","['jdstorm', 'dont', 'wish', 'injuri', 'happen', 'doubt', 'hes', 'injur', 'look', 'embarrass']"
11,0,20120530044519Z,be carefuljimboog has a fork with your name on it,"['carefuljimboog', 'fork', 'name']","['carefuljimboog', 'fork', 'name']","['carefuljimboog', 'fork', 'name']"
12,0,,tonnyb  or they just dont pay attention ,"['tonnyb', 'dont', 'pay', 'attention']","['tonnyb', 'dont', 'pay', 'attent']","['tonnyb', 'dont', 'pay', 'attent']"
13,0,,hmmm perhaps some who are too pigfaced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can idk stream of consciousnees thought after looking at her ,"['hmmm', 'perhaps', 'pigfaced', 'get', 'laid', 'therefore', 'zero', 'chance', 'getting', 'pregnant', 'activity', 'hold', 'something', 'women', 'idk', 'stream', 'consciousnees', 'thought', 'looking']","['hmmm', 'perhap', 'pigfac', 'get', 'laid', 'therefor', 'zero', 'chanc', 'get', 'pregnant', 'activ', 'hold', 'someth', 'women', 'idk', 'stream', 'consciousne', 'thought', 'look']","['hmmm', 'perhap', 'pigfac', 'get', 'laid', 'therefor', 'zero', 'chanc', 'get', 'pregnant', 'activ', 'hold', 'someth', 'women', 'idk', 'stream', 'consciousne', 'thought', 'look']"
14,0,,barrettmarson huh her income was 21912 her spending was 5470 my math puts that at 249,"['barrettmarson', 'huh', 'income', '21912', 'spending', '5470', 'math', 'puts', '249']","['barrettmarson', 'huh', 'incom', '21912', 'spend', '5470', 'math', 'put', '249']","['barrettmarson', 'huh', 'incom', '21912', 'spend', '5470', 'math', 'put', '249']"
15,1,20120611090207Z,for some reason u sound retarded lol damn where u been negro,"['reason', 'u', 'sound', 'retarded', 'lol', 'damn', 'u', 'negro']","['reason', 'u', 'sound', 'retard', 'lol', 'damn', 'u', 'negro']","['reason', 'you', 'sound', 'retard', 'lol', 'damn', 'you', 'negro']"
16,1,20120320162532Z,you with the racist screen namennyou are a pieceofshit,"['racist', 'screen', 'namennyou', 'pieceofshit']","['racist', 'screen', 'namennyou', 'pieceofshit']","['racist', 'screen', 'namennyou', 'pieceofshit']"
17,0,,oh  cheating as well1966 cup was a cheat fest  you still dare to post that commentshame on you lol,"['oh', 'cheating', 'well1966', 'cup', 'cheat', 'fest', 'still', 'dare', 'post', 'commentshame', 'lol']","['oh', 'cheat', 'well1966', 'cup', 'cheat', 'fest', 'still', 'dare', 'post', 'commentsham', 'lol']","['oh', 'cheat', 'well1966', 'cup', 'cheat', 'fest', 'still', 'dare', 'post', 'commentsham', 'lol']"
18,1,20120320075347Z,your such a dickhead,['dickhead'],['dickhead'],['dickhead']
19,1,20120320203947Z,your a retard go post your head up your ,"['retard', 'go', 'post', 'head']","['retard', 'go', 'post', 'head']","['retard', 'go', 'post', 'head']"
20,0,20120612051612Z,eephusbluexa0makes you want to say mike macwhogal,"['eephusbluexa0makes', 'want', 'say', 'mike', 'macwhogal']","['eephusbluexa0mak', 'want', 'say', 'mike', 'macwhog']","['eephusbluexa0mak', 'want', 'say', 'mike', 'macwhog']"
21,0,20120611234235Z,httpwwwyoutubecomwatchvtlyllphkru4,['httpwwwyoutubecomwatchvtlyllphkru4'],['httpwwwyoutubecomwatchvtlyllphkru4'],['httpwwwyoutubecomwatchvtlyllphkru4']
22,0,20120502215304Z,and you know theyve burned holes in all the carpeting,"['know', 'theyve', 'burned', 'holes', 'carpeting']","['know', 'theyv', 'burn', 'hole', 'carpet']","['know', 'theyv', 'burn', 'hole', 'carpet']"
23,0,20120503031721Z,you are a land creature you would drown,"['land', 'creature', 'would', 'drown']","['land', 'creatur', 'would', 'drown']","['land', 'creatur', 'would', 'drown']"
